timestamp,id,secMark,latitude,longitude,elev,accuracy,transmission,speed,heading,angle,accel_set_long,accel_set_lat,accel_set_vert,accel_set_yaw,brakes_wheel_brakes,brakes_traction,brakes_abs,brakes_scs,brakes_brake_boost,brakes_aux_brakes,size_width,size_length
20221017_163737.600781675,2564,0,37.57950592,126.8918915,366,0,2,6,276,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163738.600388075,2564,0,37.5795517,126.8919296,365,0,2,5,290,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163739.600402916,2564,0,37.57959747,126.891983,364,0,2,5,304,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163740.600298551,2564,0,37.57963943,126.8920212,363,0,2,5,284,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163741.600655029,2564,0,37.5796814,126.892067,362,0,2,5,310,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163742.600301033,2564,0,37.57972336,126.8921051,361,0,2,6,321,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163743.700724111,2564,0,37.57977295,126.8921585,360,0,2,6,314,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163745.800249761,2564,0,37.57987213,126.8922653,359,0,2,6,319,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.100223893,2564,0,37.57988358,126.8922729,360,0,2,6,298,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.300292476,2564,0,37.57989883,126.8922882,360,0,2,6,299,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.400649326,2564,0,37.57990265,126.8922882,360,0,2,6,317,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.500451976,2564,0,37.57990646,126.8923035,360,0,2,6,320,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.600294103,2564,0,37.57991028,126.8923035,360,0,2,6,301,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163752.700270012,2564,0,37.58021164,126.8925705,346,0,2,5,266,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163755.700693278,2564,0,37.58029175,126.8926315,342,0,2,2,292,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163755.800285494,2564,0,37.58029556,126.8926315,342,0,2,2,292,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163755.901563136,2564,0,37.58029938,126.8926315,342,0,2,2,301,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.100696253,2564,0,37.58029938,126.8926315,343,0,2,2,299,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.300728588,2564,0,37.58030319,126.8926315,343,0,2,2,297,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.400207321,2564,0,37.58030701,126.8926315,343,0,2,2,297,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.600358452,2564,0,37.58031464,126.8926315,343,0,2,2,224,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.700562839,2564,0,37.58031464,126.8926315,343,0,2,2,291,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.100409214,2564,0,37.58033752,126.8925552,351,0,2,1,173,26,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.200635082,2564,0,37.58033752,126.8925552,351,0,2,1,145,24,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.300260661,2564,0,37.58033752,126.8925552,352,0,2,1,145,23,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.400269758,2564,0,37.58033752,126.8925552,352,0,2,1,145,22,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163805.200409644,2564,0,37.5802269,126.8924561,365,0,2,3,139,0,0,0,0,0,0,0,0,0,0,0,200,510
