 timestamp,id,secMark,elev,accuracy,transmission,speed,heading,angle,accel_set_long,accel_set_lat,accel_set_vert,accel_set_yaw,brakes_wheel_brakes,brakes_traction,brakes_abs,brakes_scs,brakes_brake_boost,brakes_aux_brakes,size_width,size_length
20221017_163737.600781675,2564,0,366,0,2,6,276,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163738.600388075,2564,0,365,0,2,5,290,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163739.600402916,2564,0,364,0,2,5,304,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163740.600298551,2564,0,363,0,2,5,284,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163741.600655029,2564,0,362,0,2,5,310,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163742.600301033,2564,0,361,0,2,6,321,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163743.700724111,2564,0,360,0,2,6,314,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163745.800249761,2564,0,359,0,2,6,319,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.100223893,2564,0,360,0,2,6,298,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.300292476,2564,0,360,0,2,6,299,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.400649326,2564,0,360,0,2,6,317,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.500451976,2564,0,360,0,2,6,320,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163746.600294103,2564,0,360,0,2,6,301,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163752.700270012,2564,0,346,0,2,5,266,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163755.700693278,2564,0,342,0,2,2,292,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163755.800285494,2564,0,342,0,2,2,292,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163755.901563136,2564,0,342,0,2,2,301,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.100696253,2564,0,343,0,2,2,299,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.300728588,2564,0,343,0,2,2,297,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.400207321,2564,0,343,0,2,2,297,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.600358452,2564,0,343,0,2,2,224,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163756.700562839,2564,0,343,0,2,2,291,32,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.100409214,2564,0,351,0,2,1,173,26,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.200635082,2564,0,351,0,2,1,145,24,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.300260661,2564,0,352,0,2,1,145,23,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163800.400269758,2564,0,352,0,2,1,145,22,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163805.200409644,2564,0,365,0,2,3,139,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163805.300290391,2564,0,365,0,2,3,113,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163805.400234830,2564,0,365,0,2,4,113,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163805.600216289,2564,0,366,0,2,4,114,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163805.800227159,2564,0,366,0,2,4,153,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163806.100271019,2564,0,367,0,2,4,108,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163806.300109732,2564,0,368,0,2,4,133,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163806.400321309,2564,0,368,0,2,4,132,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163806.500235382,2564,0,368,0,2,4,97,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163806.600255334,2564,0,368,0,2,4,97,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163808.100283797,2564,0,370,0,2,4,130,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163808.200664112,2564,0,370,0,2,4,124,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163808.300670339,2564,0,370,0,2,4,92,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163808.504010336,2564,0,370,0,2,4,124,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163808.601360247,2564,0,371,0,2,4,131,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163808.700162908,2564,0,371,0,2,4,131,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163809.300436834,2564,0,372,0,2,4,101,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163809.400210568,2564,0,373,0,2,4,120,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163809.500194753,2564,0,373,0,2,4,90,0,0,0,0,0,0,0,0,0,0,0,200,510
20221017_163809.800197646,2564,0,373,0,2,4,146,0,0,0,0,0,0,0,0,0,0,0,200,510
