timestamp,msg_cnt,rev,anchor_point_long,anchor_point_lat,anchor_point_elevation,rtcmHeader_status,rtcmHeader_status_msg,rtcmHeader_offsetSet_antOffsetXrtcmHeader_offsetSet_antOffsetY,rtcmHeader_offsetSet_antOffsetZ,rtcm_message_cnt,rtcm_message
20221017_163737.694393785,118,1,0,0,0,0,,0,0,305419896,1,Y~}Tnymk\D|{O\@PNe@s{L@q~O@OC@{Y\|cyf
20221017_163738.755293755,119,1,0,0,0,0,,0,0,305419896,1,Y~}TnEakSD|{wsoq@@swK@q~O@OA@{ucC\VU
20221017_163739.693833510,120,1,0,0,0,0,,0,0,305419896,1,Y~}TnekkWD|{WA@PN@Lx`NApZOBH{vcC\fN
20221017_163740.691139943,121,1,0,0,0,0,,0,0,305419896,1,Y~}qQj[T{{CDX@@PN@L@@hNApZO@@{F\|cIX
20221017_163741.689383463,122,1,0,0,0,0,,0,0,305419896,1,fAB@kQJQTZD|{gZ@PNe@K@@aNApZO@H{Z\|cI}
20221017_163742.696935313,123,1,0,0,0,0,,0,0,305419896,1,fAB@kQrUTq{CDX@@PN@tO@oNApZwO{K\|cIX
20221017_163743.755280523,124,1,0,0,0,0,,0,0,305419896,1,fAB@NnMeky{CDxroq@@KpP@q~OeH|DK\|cqw
20221017_163744.687349081,125,1,0,0,0,0,,0,0,305419896,1,Y~}TnmokXD|{Ghoq@ZtO@J@q~O@wC@{Q\|cqR
20221017_163745.754746970,126,1,0,0,0,0,,0,0,305419896,1,cO|tKN|WDP@AWDP`rt}tVMI@@ECzsN{|asN{Dk
20221017_163746.694355293,127,1,0,0,0,0,,0,0,305419896,1,fAB@Nn}lkn{CDxWSN~@KpP@q~OeH~DgcC\n_
20221017_163747.755296476,0,1,0,0,0,0,,0,0,305419896,1,Y~}qQ|STPD|{{]@PNe@KxiNApZwBD{\\|cQ`
20221017_163748.755726439,1,1,0,0,0,0,,0,0,305419896,1,Y~}qQ\_Tu{CDDG@PN@tw_U@q~OeHAxD~cC\^a
20221017_163749.699026107,2,1,0,0,0,0,,0,0,305419896,1,fAB@Nnckkf{CDDboq@ZtwB@q~O@w@@{kcC\^D
20221017_163750.696680415,3,1,0,0,0,0,,0,0,305419896,1,fAB@kQlZTe{CDdP@PNe@KtK@q~O@w@@{kcC\^D
20221017_163751.694714323,4,1,0,0,0,0,,0,0,305419896,1,fAB@Nnsok{{CDduoq@@KxL@q~O@w@@{kcC\Ah
20221017_163752.758890044,5,1,0,0,0,0,,0,0,305419896,1,fAB@kQtUTe{CDdPSN~@KtnNApZWC@{O\|c^@
20221017_163753.693395229,6,1,0,0,0,0,,0,0,305419896,1,Y~}Tnkdk`{CDdP@RNItG`A@q~O@WC@{jcC\Ah
20221017_163754.755951322,7,1,0,0,0,0,,0,0,305419896,1,fAB@Nn[nkb{CDdP@PNe@K@`S@q~Oeh|DpcC\AM
20221017_163755.691060107,8,1,0,0,0,0,,0,0,305419896,1,cO|Qtq@CMDP@Ar{o_Mn}tVMlz|`sN{|DLqD{q
20221017_163756.757810385,9,1,0,0,0,0,,0,0,305419896,1,Y~}qQDRTj{CDdP@PNe@KtK@q~O@WCH{vcC\Qd
20221017_163757.704261022,10,1,0,0,0,0,,0,0,305419896,1,fAB@NnGmkx{CDTnoq@Zt{`NApZWAH{cC\Qd
20221017_163758.696290728,11,1,0,0,0,0,,0,0,305419896,1,fAB@Nng`kr{CDTnoq@ZtK@tNAph@xDvcC\Qd
20221017_163800.693582000,13,1,0,0,0,0,,0,0,305419896,1,fAB@Nnwdko{CDdP@PNe@KtK@q~O@WCD{T\|cn~
20221017_163802.755409514,15,1,0,0,0,0,,0,0,305419896,1,fAB@kQpTTr{CDduoq@@KtnNApZWC@{O\|cvF
20221017_163803.756041322,16,1,0,0,0,0,,0,0,305419896,1,Y~}qQPZTm{CDdP@PNe@KD`mNApZWCD{qcC\Iy
20221017_163805.696495251,18,1,0,0,0,0,,0,0,305419896,1,cO|tKN|WDP@AWDP`rt}tVMI@@ECzsN{|asN{Dk
20221017_163806.693739468,19,1,0,0,0,0,,0,0,305419896,1,fAB@N^@lkSD|{[ooq@ZtG@V@q~Oeh~D\\|cvc
